"CODGEO","P18_POP","P18_POP0014","P18_POP1529","P18_POP3044","P18_POP4559","P18_POP6074","P18_POP7589","P18_POP90P","P18_POPH"
"01244",7848,1638.93706830391,1305.30127057218,1604.63016969387,1469.57585060118,1151.59443983554,579.227171871274,98.7340291220413,3746.7473673163
"01245",930,213,122,176,185,159,67,8,467
"01246",2195.00000000001,457.422374126824,351.314061167574,425.462348906733,392.741686611272,388.920716503802,157.782340313259,21.3564723705405,1079.12447149801
"01247",325,59.7826086956522,38.0434782608695,68.4782608695652,79.3478260869565,63.0434782608695,16.3043478260869,0,173.913043478261
"01248",2148,398.982628062361,347.315812917595,371.235634743875,583.643652561247,338.704677060134,102.376837416481,5.74075723830735,1091.70066815145
"01249",10043,2176.90141514957,1592.97441839684,2071.4312058674,1997.10384235592,1375.80896152833,685.396206640597,143.383950061355,4916.43010472834
"01250",1944,370.908254988919,404.218471656214,346.278655095318,437.743023238128,280.025275467937,99.6441255403272,5.18219401315535,938.43938958733
"01252",782,174.10941475827,94.5165394402036,157.195928753181,158.190839694656,137.297709923664,56.7099236641221,3.97964376590331,405.923664122137
"01254",2024,410,257,391,470,382,107,7,1007
"01255",634,148.945904173107,96.0309119010819,127.387944358578,108.76970633694,102.890262751159,44.0958268933539,5.87944358578052,305.731066460587
"01257",348,65.4358974358974,58.4957264957265,66.4273504273504,74.3589743589743,53.5384615384615,26.7692307692308,2.97435897435897,186.393162393162
"01258",1188,237.239737416391,178.60062161764,198.405655972697,318.884981718048,196.007968932485,50.039587636416,8.82144670632518,611.360406012337
"01259",697,151.607344632768,109.275423728814,148.65395480226,168.343220338983,86.6327683615819,27.5649717514124,4.92231638418079,331.764124293785
"01260",299,74.75,37.375,67.8651315789473,60.9802631578947,39.3421052631579,17.703947368421,0.983552631578947,162.286184210526
"01261",643,128,94,111,167,107,33,3,335
"01262",6924.99999999999,1289.38835097756,1316.44361874198,1319.53271882559,1360.73686722004,1012.89839172829,537.048895101449,88.9511574050926,3323.50731960068
"01263",3783.00000000001,698.506493506496,537.423295454547,666.298701298704,839.415584415587,646.055600649353,330.859577922079,64.4407467532467,1875.53125000001
"01264",1028,205.397637795276,161.889763779528,189.208661417323,248.905511811024,147.724409448819,58.6850393700789,16.1889763779528,497.811023622049
"01265",3419,699.011475378216,565.686566938516,671.433450039638,723.667083361772,511.617803235815,230.31780033291,17.2658207131338,1712.56823614699
"01266",2515,355,399,366,478,507,335,75,1181
"01267",1027,203.989934800603,146.794873218705,206.955106825373,216.306198090932,191.015996016109,55.8061654369356,6.13172561134035,518.478351965256
"01268",249,49.5975609756098,24.2926829268293,46.5609756097561,54.6585365853659,51.6219512195122,18.219512195122,4.04878048780488,124.5
"01269",3410,691,616,657,615,457,272,102,1674
"01272",1510,284.280767597562,218.483165937535,280.856301880247,275.140683039506,271.618590993307,143.17631260399,36.444177947854,715.51756569689
"01273",1772,375.695953450965,265.051674239031,364.168190709671,377.683957216279,267.129461265081,106.036783099529,16.2339800194447,910.964792426574
"01274",642,134.910620399579,109.008412197687,133.910620399579,133.580441640379,85.7318611987382,38.8769716088328,5.98107255520505,319.339642481598
"01275",2549.00000000001,495.124923042969,384.268935567059,466.965953908647,580.041429047721,452.059472596327,159.438208103038,11.1010777342512,1284.06065817399
"01276",1624,354.013589178101,260.382895884769,325.494477976515,405.938804223457,210.581385247233,62.5363147627403,5.0525327271868,815.484013325343
"01277",119,21,16,22,28,21,11,0,65
"01279",84,11,12,12,17,19,8,5,41
"01280",139,24.645390070922,17.7446808510638,23.6595744680851,29.5744680851064,26.6170212765957,14.7872340425532,1.97163120567376,70.9787234042553
"01281",4419,1037,689,999,989,478,186,41,2156
